call,qso_date,time_off,freq,mode,rst_sent,comment,band,unknown
2E0FQT,20210220,0707,3.5746,FT8,+01,Opr PC2V,86m,unknown
9A2AA,20210220,2140,5.357,FT8,-7,OPR PA3EFR,60m,unknown
9A2NA,20210222,2058,3.5746,FT8,-06,Opr PD9HIX,80m,unknown
9A3ZAN,20210220,2032,7.0756,FT8,-07,Opr PD9HIX,40m,unknown
9A4ZM,20210220,0741,3.5746,FT8,-14,Opr PD9HIX,80m,unknown
9A4ZM,20210220,0907,7.0756,FT8,-13,Opr PD9HIX,40m,unknown
9A4ZM,20210228,0937,10.1,FT8,+2,OPR PA3EFR,30m,unknown
9A5CW,20210220,0824,7.0756,FT8,+01,Opr PD9HIX,40m,unknown
9A5CW,20210222,1821,5.357,FT8,unknown,OPR PA3EFR,60m,unknown
9A6T,20210226,1832,5.357,FT8,-1,OPR PA3EFR,60m,unknown
9M6TMT,20210221,1453,14.228,SSB,58,Op PD9HIX,20m,unknown
AA5AU,20210228,1339,14.0756,FT8,-12,Opr PD9HIX,20m,unknown
AG9S,20210228,1548,14.0756,FT8,-12,Opr PD9HIX,20m,unknown
C31CT,20210220,2139,5.357,FT8,+1,OPR PA3EFR,60m,unknown
CT1BSD,20210228,1550,14.0756,FT8,-06,Opr PD9HIX,20m,unknown
CT1FHH,20210220,1241,14.182,SSB,52,Op PD9HIX,20m,unknown
CT1JQC,20210228,1619,14.0756,FT8,-14,Opr PD9HIX,20m,unknown
CT2GFJ,20210222,1913,7.07631,FT8,-12,pe2pvd,40m,unknown
CT2IFT,20210228,1612,14.0756,FT8,+03,Opr PD9HIX,20m,unknown
DC220GERKE,20210221,1720,3.754,LSB,59,Opr PD2SVA,80m,unknown
DC4MB,20210221,0937,3.69,SSB,unknown,OPR PA3EFR,80m,unknown
DD9WG,20210220,0733,3.5746,FT8,+04,Opr PD9HIX,80m,unknown
DF4SR,20210220,0959,7.088,SSB,unknown,bas,40m,unknown
DF9QT,20210222,1239,144.175,FT8,-12,pe2pvd,2m,unknown
DH0GBC,20210218,0820,7.07491,FT8,+01,pe2pvd,40m,unknown
DH1BBH,20210222,2056,3.5746,FT8,-16,Opr PD9HIX,80m,unknown
